Date,Agency,Category,Information
22. January 2024," Therapeutic Goods Administration (TGA), Australia",Guidance,Reclassification of medical devices that administer medicines or biologicals by inhalation
22. January 2024," Therapeutic Goods Administration (TGA), Australia",Guidance,Reclassification of medical devices that are substances to be introduced into the body or applied to and absorbed by the skin
22. January 2024," Therapeutic Goods Administration (TGA), Australia",Guidance,Reclassification of spinal implantable medical devices
22. January 2024," Therapeutic Goods Administration (TGA), Australia",Guidance,Reclassification of active medical devices with a diagnostic function
22. January 2024, Egyptian Drug Authority,Guidance,Registration of Human Pharmaceutical Products
22. January 2024, Egyptian Drug Authority,Draft Guidance,Examination of human use product files
22. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Notify the MHRA about a clinical investigation for a medical device
22. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies
22. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Apply for a licence to market a medicine in the UK
22. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,MHRA launches new fees calculator
22. January 2024, USA Food & Drug Administration FDA,Important Info,Final Rule to Amend the Mammography Quality Standards Act
22. January 2024, USA Food & Drug Administration FDA,Pilot Program,Accelerate Development of Rare Disease Therapies
22. January 2024, USA Food & Drug Administration FDA,Report,CDRH 2023 Annual Report
22. January 2024, USA Food & Drug Administration FDA,Deadline,Advancing Real-World Evidence Program submission deadline
22. January 2024, USA Food & Drug Administration FDA,Statement,FDA and CMS: Accurate and Reliable Diagnostic Tests
22. January 2024, Swissmedic,Guidance,Document Authorisation according to Art. 14 para. 1 abis-quater TPA
22. January 2024, Swissmedic,Guidance,Author. of immuno. veterinary medicinal prod. epizootic outbreak
22. January 2024, Swissmedic,Guidance,Authorisation of human medicinal products under Art. 13 TPA
22. January 2024, Swissmedic,Guidance,Fast-track authorisation procedure
22. January 2024, Swissmedic,Guidance,Temporary authorisation of human medicinal products
22. January 2024, Swissmedic,Guidance,Authorisation of human medicinal product known API
15. January 2024, European Commission,Guidelines,Medical imaging studies and reports
15. January 2024, European Commission,Dashboard,Study supporting the monitoring of availability of medical devices
15. January 2024, European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee (PRAC)
15. January 2024, Egyptian Drug Authority,Guidelines,Nuclear and Radiation Safety and Nuclear Pharmacy Practice
15. January 2024, Egyptian Drug Authority,Updates,"Requirements of centers, bioequivalence and solubility studies"
15. January 2024, Medicines and Healthcare products Regulatory Agency,Standard,Implementation of medical devices future regime
15. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Exporting active UK substances for use in EEA and Northern Ireland
15. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Borderline products: how to tell if your product is a medicine
15. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Register medical devices to place on the market
15. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Labelling and packaging-Windsor Framework
15. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Export Medical Devices
15. January 2024, USA Food & Drug Administration FDA,News,Vaporized Hydrogen Peroxide for Medical Device Sterilization
15. January 2024, USA Food & Drug Administration FDA,News,New Drug Therapy Approvals 2023
15. January 2024, USA Food & Drug Administration FDA,News,New Webpage for Searching Pharmaceutical Quality Documents
15. January 2024, USA Food & Drug Administration FDA,Guidance,510(k) Submissions for Devices Labeled as Sterile
15. January 2024, USA Food & Drug Administration FDA,Guidance,Q5A(R2) Viral Safety Evaluation of Biotechnology Products
15. January 2024, USA Food & Drug Administration FDA,Guidance,Requests for Reconsideration at the Division Level Under GDUFA
15. January 2024, USA Food & Drug Administration FDA,Forms,Tools for Cosmetic Product Facility Registration and Product Listing
15. January 2024, USA Food & Drug Administration FDA,SOPP,Administrative Processing of Original Biologics License Applications Report: CTTI and FDA share strategies “CTTI Report 2024”
15. January 2024, USA Food & Drug Administration FDA,Report,Congressional Research Service – FDA Regulation of Medical Devices
15. January 2024, USA Food & Drug Administration FDA,Report,CDER Annual Report 2023
15. January 2024, USA Food & Drug Administration FDA,QMSR News,Medical Devices; Quality System Regulation Amendments
15. January 2024, ISO (International Organization for Standardization),Standard,"ISO Update December 1, 2023 to January 1, 2024"
15. January 2024, Swissmedic,Guidance,Application licence for medicinal products or TpP/GT/GMO
15. January 2024, Swissmedic,Guidance,Verzicht Betriebsbewilligung Arzneimittel (inkl. Blut) /TpP/GT/GVO
15. January 2024, Swissmedic,Form,"Applications for, discontinuation of an establishment licence"
15. January 2024, Swissmedic,Announcement,Certification from the former notified body ECM (Aachen DE)
15. January 2024, Ministry of Health Sciences Authority Singapore,Fees,Regulatory fee revision for health products
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Operational Information Sharing
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Apply for a traditional herbal registration (THR)
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Apply for a variation to your marketing authorisation
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Apply for a licence to market a medicine in the UK
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,150-day assessment for national applications for
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Register a homeopathic medicine
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Unfettered Access Procedure for marketing authorisations approved in Northern Ireland
8. January 2024, Medicines and Healthcare products Regulatory Agency,Guidance,Written Confirmations for export to EEA and Northern Ireland
8. January 2024, Medicines and Healthcare products Regulatory Agency,News,International Recognition Procedure (IRP) goes live
8. January 2024, Medicines and Healthcare products Regulatory Agency,News,The British Pharmacopoeia (BP) 2024 edition now legally effective
8. January 2024, CDSCO India,News,Launching of National Single Window System (NSWS) Portal
8. January 2024, USA Food & Drug Administration FDA,Letter to Industry,Medical Device Transition to Electronic Export Documents
8. January 2024, USA Food & Drug Administration FDA,Update,ASCA-Accredited Testing Laboratories
8. January 2024, Medical Device Authority Malaysia,Important Notice,Expiry of CAB Registration for Newera International
8. January 2024, Swissmedic,Guidance,Swiss Single Registration Number – CHRN
8. January 2024, Swissmedic,Guidance,Export Certificates
8. January 2024, Swissmedic,Guidance,Terms of Reference - Round Table on Medical Technology
8. January 2024, Swissmedic,Guidance,Organisatiion Regulations: Organisationsreglement Swissmedic
8. January 2024, Swissmedic,Directory,Overview of documents to be submitted
8. January 2024, Swissmedic,Directory,List countries with comparable control of human medicinal products
8. January 2024, Swissmedic,Guidance,Packaging for human medicinal products
8. January 2024, Swissmedic,Form,New authorisation of human medicinal products
8. January 2024, Swissmedic,Guidance,Guidance document Authorisation of Asian medicinal products)
8. January 2024, Swissmedic,Form,Import of a human medicinal product(parallel import)
8. January 2024, Swissmedic,Guidance,Import of a human medicinal product (parallel import)
8. January 2024, Saudi Food & Drug Authority,Guidance,Requirements for Clinical Trials of Medical Devices
8. January 2024, Department of Health The Government of the Hong Kong,Technical Reference,Artificial Intelligence Medical Devices (AI-MD)
